member_id,belangrijk_mandaat,titel,omschrijving,datum_van,datum_tot,commissie_id,commissie_afkorting,commissie_titel
3430,J,"Commissie voor Economie, Werk, Sociale Economie, Wetenschap en Innovatie",voorzitter,2019-10-09T14:00:00+0200,2024-06-08T23:59:59+0200,1333088,ECO,"Commissie voor Economie, Werk, Sociale Economie, Wetenschap en Innovatie"
3430,J,Commissie ad hoc,plaatsvervangend lid,2019-06-18T00:00:00+0200,2019-10-11T09:00:00+0200,1320193,ADHOC,Commissie ad hoc
3430,J,"Commissie voor Algemeen Beleid, Financiën en Begroting",plaatsvervangend lid,2014-09-24T00:00:00+0200,2019-05-25T00:00:00+0200,1053486,FIN,"Commissie voor Algemeen Beleid, Financiën en Begroting"
3430,J,"Commissie voor Landbouw, Visserij en Plattelandsbeleid",plaatsvervangend lid,2014-09-24T00:00:00+0200,2019-05-25T00:00:00+0200,1053514,LAN,"Commissie voor Landbouw, Visserij en Plattelandsbeleid"
3430,J,Commissie voor Alternatieve Financiering van Overheidsinvesteringen,plaatsvervangend lid,2016-09-28T00:00:00+0200,2019-05-25T00:00:00+0200,1078873,ALT,Commissie voor Alternatieve Financiering van Overheidsinvesteringen
3430,J,"Commissie voor Leefmilieu, Natuur, Ruimtelijke Ordening, Energie en Dierenwelzijn",vast lid,2014-09-24T00:00:00+0200,2019-05-25T00:00:00+0200,925082,LEE,"Commissie voor Leefmilieu, Natuur, Ruimtelijke Ordening, Energie en Dierenwelzijn"
3430,J,"Commissie voor Economie, Werk, Sociale Economie, Innovatie en Wetenschapsbeleid",tweede ondervoorzitter,2014-09-24T00:00:00+0200,2019-05-25T00:00:00+0200,925080,ECO,"Commissie voor Economie, Werk, Sociale Economie, Innovatie en Wetenschapsbeleid"
3430,J,Commissie voor de Opvolging van het Klimaatbeleid in Vlaanderen,eerste ondervoorzitter,2016-02-17T00:00:00+0100,2019-05-25T00:00:00+0200,1037330,KLIM,Commissie voor de Opvolging van het Klimaatbeleid in Vlaanderen
3430,J,Commissie ad hoc,plaatsvervangend lid,2014-07-26T00:00:00+0200,2014-09-23T00:00:00+0200,924026,ADHOC,Commissie ad hoc
3430,J,"Commissie voor Landbouw, Visserij en Plattelandsbeleid",plaatsvervangend lid,2009-09-28T00:00:00+0200,2014-05-24T00:00:00+0200,560543,LAN,"Commissie voor Landbouw, Visserij en Plattelandsbeleid"
3430,J,"Commissie voor Woonbeleid, Stedelijk Beleid en Energie",plaatsvervangend lid,2010-10-06T00:00:00+0200,2014-05-24T00:00:00+0200,560548,WON,"Commissie voor Woonbeleid, Stedelijk Beleid en Energie"
3430,J,Opvolgingscommissie Versnelling Maatschappelijk Belangrijke Investeringsprojecten,plaatsvervangend lid,2010-11-22T00:00:00+0100,2014-05-24T00:00:00+0200,609641,VMBI,Opvolgingscommissie Versnelling Maatschappelijk Belangrijke Investeringsprojecten
3430,J,"Commissie voor Leefmilieu, Natuur, Ruimtelijke Ordening en Onroerend Erfgoed",vast lid,2010-10-06T00:00:00+0200,2014-05-24T00:00:00+0200,560544,LEE,"Commissie voor Leefmilieu, Natuur, Ruimtelijke Ordening en Onroerend Erfgoed"
