fractie_id,member_id,volledige_naam,voornaam,naam,kieskring,zetel,deelstaatsenator,is_huidige_vv,self_opendata_url,fotowebpath
1829398,4400,Jan Laeremans,Jan,Laeremans,Kieskring Vlaams-Brabant,64,False,J,https://ws.vlpar.be/e/opendata/vv/4400?lang=nl,https://docs.vlaamsparlement.be/files/pfile?id=1482460
1829398,4621,Tom Lamont,Tom,Lamont,Kieskring West-Vlaanderen,45,False,J,https://ws.vlpar.be/e/opendata/vv/4621?lang=nl,https://docs.vlaamsparlement.be/files/pfile?id=2065750
1829398,1847,Dominiek Lootens-Stael,Dominiek,Lootens-Stael,Kieskring Brussel-Hoofdstad,29,False,J,https://ws.vlpar.be/e/opendata/vv/1847?lang=nl,https://docs.vlaamsparlement.be/files/pfile?id=2065271
1829398,4403,Ilse Malfroot,Ilse,Malfroot,Kieskring Oost-Vlaanderen,106,False,J,https://ws.vlpar.be/e/opendata/vv/4403?lang=nl,https://docs.vlaamsparlement.be/files/pfile?id=1482706
1829398,3298,Leo Pieters,Leo,Pieters,Kieskring Limburg,107,False,J,https://ws.vlpar.be/e/opendata/vv/3298?lang=nl,https://docs.vlaamsparlement.be/files/pfile?id=2215480
1829398,4408,Carmen Ryheul,Carmen,Ryheul,Kieskring West-Vlaanderen,61,False,J,https://ws.vlpar.be/e/opendata/vv/4408?lang=nl,https://docs.vlaamsparlement.be/files/pfile?id=1482720
1829398,2825,Stefaan Sintobin,Stefaan,Sintobin,Kieskring West-Vlaanderen,31,False,J,https://ws.vlpar.be/e/opendata/vv/2825?lang=nl,https://docs.vlaamsparlement.be/files/pfile?id=1478515
1829398,4410,Kristof Slagmulder,Kristof,Slagmulder,Kieskring Oost-Vlaanderen,47,True,J,https://ws.vlpar.be/e/opendata/vv/4410?lang=nl,https://docs.vlaamsparlement.be/files/pfile?id=2069862
1829398,4412,Klaas Slootmans,Klaas,Slootmans,Kieskring Vlaams-Brabant,13,True,J,https://ws.vlpar.be/e/opendata/vv/4412?lang=nl,https://docs.vlaamsparlement.be/files/pfile?id=1483275
1829398,4416,Els Sterckx,Els,Sterckx,Kieskring Antwerpen,82,False,J,https://ws.vlpar.be/e/opendata/vv/4416?lang=nl,https://docs.vlaamsparlement.be/files/pfile?id=1482450
1829398,4649,Sarah T'Joens,Sarah,T'Joens,Kieskring West-Vlaanderen,86,False,J,https://ws.vlpar.be/e/opendata/vv/4649?lang=nl,https://docs.vlaamsparlement.be/files/pfile?id=2065751
1829398,4647,Freija Van den Driessche,Freija,Van den Driessche,Kieskring Oost-Vlaanderen,14,False,J,https://ws.vlpar.be/e/opendata/vv/4647?lang=nl,https://docs.vlaamsparlement.be/files/pfile?id=2064949
1829398,4095,Anke Van dermeersch,Anke,Van dermeersch,Kieskring Antwerpen,30,True,J,https://ws.vlpar.be/e/opendata/vv/4095?lang=nl,https://docs.vlaamsparlement.be/files/pfile?id=1483810
1829398,4098,Tom Van Grieken,Tom,Van Grieken,Kieskring Antwerpen,104,False,J,https://ws.vlpar.be/e/opendata/vv/4098?lang=nl,https://docs.vlaamsparlement.be/files/pfile?id=1478850
1829398,4643,Bart Van Opstal,Bart,Van Opstal,Kieskring Antwerpen,85,False,J,https://ws.vlpar.be/e/opendata/vv/4643?lang=nl,https://docs.vlaamsparlement.be/files/pfile?id=2073414
1829398,4433,Wim Verheyden,Wim,Verheyden,Kieskring Antwerpen,65,True,J,https://ws.vlpar.be/e/opendata/vv/4433?lang=nl,https://docs.vlaamsparlement.be/files/pfile?id=1482489
1829398,4429,Suzy Wouters,Suzy,Wouters,Kieskring Vlaams-Brabant,83,False,J,https://ws.vlpar.be/e/opendata/vv/4429?lang=nl,https://docs.vlaamsparlement.be/files/pfile?id=1482725
1829393,4383,Hannes Anaf,Hannes,Anaf,Kieskring Antwerpen,8,False,J,https://ws.vlpar.be/e/opendata/vv/4383?lang=nl,https://docs.vlaamsparlement.be/files/pfile?id=2065849
1829393,4735,Simon Bekaert,Simon,Bekaert,Kieskring West-Vlaanderen,122,False,J,https://ws.vlpar.be/e/opendata/vv/4735?lang=nl,https://docs.vlaamsparlement.be/files/pfile?id=2101967
